,Interest,<14,14-19,20-29,30-39,40-49,50-59,60-69,70-79,â‰¥80
0,Sports,2535,5554,11428,2635,1326,493,232,45,175
1,Entertainment,2119,5439,11263,2103,1077,427,215,31,42
2,Politics,2536,5292,9872,2042,1172,621,203,34,42
3,Health,2175,5355,10264,1935,1245,477,208,31,55
4,Food,2168,5417,10100,1998,1063,431,203,31,43
5,Environment,2145,5362,9753,1910,1054,435,210,32,42
6,History,2394,5318,9541,1921,1048,418,215,31,42
7,Education,2163,5331,9784,1907,1025,426,214,32,42
8,Science,2119,5294,9664,1896,1026,417,202,31,42
9,Inequality,2118,5276,9646,1919,1020,411,200,31,42
10,Technology,2128,5271,9572,1905,1017,425,204,31,42
11,Economy,2123,5266,9469,1896,1037,448,208,32,42
12,Climate change,2118,5236,9446,1879,1019,413,201,31,42
13,football,78,164,2947,2348,76,179,86,1,138
14,college life,109,887,417,57,78,38,8,3,2
